Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-8T2FE01-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124667452488807,124667453088807,Delivered,PK-DEX,standard,Dropshipping,124667453088807,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-14D9CPV-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-25.99,2.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124667452488807,124667453088807,Delivered,PK-DEX,standard,Dropshipping,124667453088807,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-HUB2X7O-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124667452488807,124667453088807,Delivered,PK-DEX,standard,Dropshipping,124667453088807,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-E2C3M39-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,25.99,2.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124667452488807,124667453088807,Delivered,PK-DEX,standard,Dropshipping,124667453088807,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-YR0ZOAA-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125256397738965,125256397838965,Returned,PK-DEX,standard,Dropshipping,125256397838965,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-ICD8XMD-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,23.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125256397738965,125256397838965,Returned,PK-DEX,standard,Dropshipping,125256397838965,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-QO1XH3I-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125256397738965,125256397838965,Returned,PK-DEX,standard,Dropshipping,125256397838965,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-OTGW074-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-25.99,2.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125256397738965,125256397838965,Returned,PK-DEX,standard,Dropshipping,125256397838965,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-GDXX9VC-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125256397738965,125256397838965,Returned,PK-DEX,standard,Dropshipping,125256397838965,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-LVBP5ZI-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125256397738965,125256397838965,Returned,PK-DEX,standard,Dropshipping,125256397838965,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-4T9FQYC-210201,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,-18.51,2.13,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125215167145816,125215167245816,Delivered,PK-DEX,standard,Dropshipping,125215167245816,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-JD4OF9J-210201,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,99.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125215167145816,125215167245816,Delivered,PK-DEX,standard,Dropshipping,125215167245816,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-5CNQB2C-210201,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,127.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125215167145816,125215167245816,Delivered,PK-DEX,standard,Dropshipping,125215167245816,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-F0ZGVX1-210201,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,-111.87,12.87,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125215167145816,125215167245816,Delivered,PK-DEX,standard,Dropshipping,125215167245816,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-41WHR8H-210201,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,-1.80,0.21,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125215167145816,125215167245816,Delivered,PK-DEX,standard,Dropshipping,125215167245816,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-MNSHS4S-210201,M2S2 Pack of 2 120ml Plastic Spray Bottles Refillable Empty Pocket Sized Travel Essential Oils Set Cleaning Solution Makeup Bottles Mini Portable Bottles,m2s2_spray_bottle,193088243_PK-1386248656,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125215167145816,125215167245816,Delivered,PK-DEX,standard,Dropshipping,125215167245816,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-MME9PQH-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124712023805868,124712024505868,Delivered,PK-DEX,standard,Dropshipping,124712024505868,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-P4WAE7R-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,23.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124712023805868,124712024505868,Delivered,PK-DEX,standard,Dropshipping,124712024505868,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-HZSJCX5-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124712023805868,124712024505868,Delivered,PK-DEX,standard,Dropshipping,124712024505868,,
